Code,geounit,capital,region,country,land
DZA,Algeria,Algier,Northern Africa,Algeria,Algeria
EGY,Egypt,Cairo,Northern Africa,Egypt,"Egypt, Arab Rep."
LBY,Libya,Tripolis,Northern Africa,Libya,Libya
MAR,Morocco,Rabat,Northern Africa,Morocco,Morocco
SDN,Sudan,Khartoum,Northern Africa,Sudan,Sudan
TUN,Tunisia,Tunis,Northern Africa,Tunisia,Tunisia
AGO,Angola,Luanda,Middle Africa,Angola,Angola
CMR,Cameroon,Yaounde,Middle Africa,Cameroon,Cameroon
CAF,Central African Republic,Bangui,Middle Africa,Central African Republic,Central African Republic
TCD,Chad,N'Djamena,Middle Africa,Chad,Chad
COG,Republic of Congo,Brazzaville,Middle Africa,Congo,"Congo, Rep."
COD,Democratic Republic of the Congo,Kinshasa,Middle Africa,Democratic Republic of the Congo,"Congo, Dem. Rep."
GAB,Gabon,Libreville,Middle Africa,Gabon,Gabon
STP,Sao Tome and Principe,Sao Tome,Middle Africa,Sao Tome and Principe,Sao Tome and Principe
BEN,Benin,Porto-Novo,Western Africa,Benin,Benin
BFA,Burkina Faso,Ouagadougou,Western Africa,Burkina Faso,Burkina Faso
CPV,Cape Verde,Praia,Western Africa,Cabo Verde,Cabo Verde
CIV,Ivory Coast,Yamoussoukro,Western Africa,Cote d'Ivoire,Cote d'Ivoire
GNQ,Equatorial Guinea,Malabo,Western Africa,Equatorial Guinea,Equatorial Guinea
GMB,Gambia,Banjul,Western Africa,Gambia,"Gambia, The"
GHA,Ghana,Accra,Western Africa,Ghana,Ghana
GIN,Guinea,Conakry,Western Africa,Guinea,Guinea
GNB,Guinea Bissau,Bissau,Western Africa,Guinea-Bissau,Guinea-Bissau
LBR,Liberia,Monrovia,Western Africa,Liberia,Liberia
MLI,Mali,Bamako,Western Africa,Mali,Mali
MRT,Mauritania,Nouakchott,Western Africa,Mauritania,Mauritania
NER,Niger,Niamey,Western Africa,Niger,Niger
NGA,Nigeria,Abuja,Western Africa,Nigeria,Nigeria
SEN,Senegal,Dakar,Western Africa,Senegal,Senegal
SLE,Sierra Leone,Freetown,Western Africa,Sierra Leone,Sierra Leone
TGO,Togo,Lome,Western Africa,Togo,Togo
BWA,Botswana,Gaborone,Southern Africa,Botswana,Botswana
LSO,Lesotho,Maseru,Southern Africa,Lesotho,Lesotho
NAM,Namibia,Windhoek,Southern Africa,Namibia,Namibia
ZAF,South Africa,Pretoria,Southern Africa,South Africa,South Africa
SWZ,Eswatini,Mbabane,Southern Africa,Eswatini,Eswatini
BDI,Burundi,Gitega,Eastern Africa,Burundi,Burundi
COM,Comoros,Moroni,Eastern Africa,Comoros,Comoros
DJI,Djibouti,Djibouti,Eastern Africa,Djibouti,Djibouti
ERI,Eritrea,Asmara,Eastern Africa,Eritrea,Eritrea
ETH,Ethiopia,Addis Abeba,Eastern Africa,Ethiopia,Ethiopia
KEN,Kenya,Nairobi,Eastern Africa,Kenya,Kenya
MDG,Madagascar,Antananarivo,Eastern Africa,Madagascar,Madagascar
MWI,Malawi,Lilongwe,Eastern Africa,Malawi,Malawi
MUS,Mauritius,Port Louis,Eastern Africa,Mauritius,Mauritius
MOZ,Mozambique,Maputo,Eastern Africa,Mozambique,Mozambique
RWA,Rwanda,Kigali,Eastern Africa,Rwanda,Rwanda
SYC,Seychelles,Victoria,Eastern Africa,Seychelles,Seychelles
SOM,Somalia,Mogadishu,Eastern Africa,Somalia,Somalia
SSD,South Sudan,Juba,Eastern Africa,South Sudan,South Sudan
UGA,Uganda,Kampala,Eastern Africa,Uganda,Uganda
TZA,Tanzania,Dodoma,Eastern Africa,Tanzania,Tanzania
ZMB,Zambia,Lusaka,Eastern Africa,Zambia,Zambia
ZWE,Zimbabwe,Harare,Eastern Africa,Zimbabwe,Zimbabwe
