,pop
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,9455733.0
12,9795479.0
13,10149577.0
14,10494913.0
15,10727148.0
16,10903327.0
17,11155593.0
18,11493472.0
19,11874838.0
20,12220227.0
21,12551213.0
22,670071.0
23,684553.0
24,699393.0
25,714612.0
26,730216.0
27,746232.0
28,761664.0
29,776313.0
30,790986.0
31,806166.0
32,821625.0
33,936811.0
34,954297.0
35,971753.0
36,989087.0
37,1006259.0
38,1023261.0
39,1040233.0
40,1057198.0
41,1073994.0
42,1090156.0
43,1105557.0
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,3207570.0
56,3252596.0
57,3296367.0
58,3323425.0
59,3340006.0
60,3365287.0
61,3396933.0
62,3445374.0
63,3498818.0
64,3555868.0
65,3620312.0
66,91817929.0
67,94451280.0
68,97084366.0
69,99746766.0
70,102471895.0
71,105293228.0
72,108197950.0
73,111129438.0
74,114120594.0
75,117190911.0
76,120283026.0
77,42635144.0
78,43725806.0
79,44792368.0
80,45831863.0
81,46851488.0
82,47894670.0
83,48948137.0
84,49953304.0
85,50951450.0
86,51985780.0
87,53005614.0
88,22348158.0
89,22966240.0
90,23588073.0
91,24215976.0
92,24850912.0
93,25501941.0
94,26169542.0
95,26846541.0
96,27533134.0
97,28225177.0
98,28915653.0
99,15146094.0
100,15581251.0
101,16024775.0
102,16477966.0
103,16938942.0
104,17405624.0
105,17881167.0
106,18367883.0
107,18867337.0
108,19377061.0
109,19889742.0
110,1252404.0
111,1255882.0
112,1258927.0
113,1261208.0
114,1262879.0
115,1263747.0
116,1264887.0
117,1265577.0
118,1265985.0
119,1266014.0
120,1266334.0
121,23760421.0
122,24487611.0
123,25251731.0
124,26038704.0
125,26843246.0
126,27696493.0
127,28569441.0
128,29423878.0
129,30285595.0
130,31178239.0
131,32077072.0
132,10576932.0
133,10840334.0
134,11101350.0
135,11368451.0
136,11642959.0
137,11930899.0
138,12230339.0
139,12531808.0
140,12835028.0
141,13146362.0
142,13461888.0
143,87441.0
144,88303.0
145,89949.0
146,91359.0
147,93419.0
148,94677.0
149,95843.0
150,96762.0
151,97625.0
152,98462.0
153,99258.0
154,12216837.0
155,12440326.0
156,12852485.0
157,13309235.0
158,13763906.0
159,14292847.0
160,14864221.0
161,15411094.0
162,15981300.0
163,16537016.0
164,17065581.0
165,10243050.0
166,10701604.0
167,11106031.0
168,11213284.0
169,11194299.0
170,11066105.0
171,10658226.0
172,10395329.0
173,10447666.0
174,10606227.0
175,10748272.0
176,46416031.0
177,47786137.0
178,49253643.0
179,50814552.0
180,52542823.0
181,54401802.0
182,56267032.0
183,58090443.0
184,59872579.0
185,61704518.0
186,63588334.0
187,33295738.0
188,34273295.0
189,35273570.0
190,36336539.0
191,37477356.0
192,38748299.0
193,40127085.0
194,41515395.0
195,42949080.0
